"person","age","networthb","time","industry"
"Desh Bandhu Gupta",77,5.8,2015,"pharmaceuticals"
"Leon Black",62,5.8,2014,"private equity"
"Richard DeVos",89,5.7,2015,"Amway"
"Isak Andic & family",60,5.7,2014,"clothing retail"
"Juan-Miguel Villar Mir",83,5.7,2015,"construction"
"Guo Guangchang",48,5.7,2015,"diversified"
"Idan Ofer",58,5.7,2014,"drilling, shipping"
"Jin Sook & Do Won Chang",59,5.7,2014,"fashion retail"
"Jorn Rausing",54,5.7,2014,"Inherited"
"Patrick McGovern",76,5.7,2014,"media"
"Chung Mong-Koo",76,5.7,2015,"motor vehicles"
"Lin Yu-lin",79,5.7,2015,"real estate"
"Hui Wing Mau",63,5.7,2014,"real estate"
"Hui Ka Yan",55,5.7,2014,"real estate"
"Leslie Wexner",76,5.7,2014,"retail"
"Andrei Skoch",49,5.7,2015,"steel"
"Sunil Mittal & family",56,5.7,2014,"telecom"
"Teh Hong Piow",84,5.6,2014,"banking"
"Quek Leng Chan",73,5.6,2015,"banking, real estate"
"Maria Asuncion Aramburuzabala",51,5.6,2015,"beer, investments"
"Keiichiro Takahara",83,5.6,2015,"diapers"
"Ray Lee Hunt",71,5.6,2014,"oil, real estate"
"Ray Lee Hunt",72,5.6,2015,"oil, real estate"
"Stanley Kroenke",66,5.6,2014,"sports, real estate"
"Stef Wertheimer",88,5.6,2015,"tools"
"Ann Walton Kroenke",66,5.6,2015,"Wal-Mart"
"Liu Yongxing",65,5.5,2014,"agribusiness"
"Cho Yaw Wee",86,5.5,2015,"banking"
"Bruno Schroder & family",81,5.5,2014,"banking"
"Thomas Schmidheiny",69,5.5,2015,"cement"
"Thomas Schmidheiny",68,5.5,2014,"cement"
"Jorn Rausing",55,5.5,2015,"Inherited"
"Jeffery Hildebrand",55,5.5,2014,"oil"
"Arthur Irving",84,5.5,2014,"oil"
"Arthur Irving",85,5.5,2015,"oil"
"Herbert Kohler, Jr.",76,5.5,2015,"plumbing fixtures"
"Anders Holch Povlsen",42,5.5,2015,"retail"
"Michael Ashley",49,5.5,2014,"sports retailing"
"Sergei Popov",42,5.4,2014,"banking"
"Teh Hong Piow",84,5.4,2015,"banking"
"Terry Gou",63,5.4,2014,"electronics"
"Joe Lewis",78,5.4,2015,"investments"
"Melker Schorling",66,5.4,2014,"investments"
"Robert Rowling",61,5.4,2015,"investments"
"Harry Triguboff",82,5.4,2015,"property"
